genre_1,genre_2,language,original_title,english_title,country,date,status
Action,Fantasy,en,Mortal Kombat,Mortal Kombat,UnitedStatesofAmerica,1995-08-18,Released
Fantasy,Drama,en,To Die For,To Die For,UnitedStatesofAmerica,1995-05-20,Released
Drama,Romance,en,How To Make An American Quilt,How To Make An American Quilt,UnitedStatesofAmerica,1995-10-06,Released
Crime,Mystery,en,Se7en,Se7en,UnitedStatesofAmerica,1995-09-22,Released
Adventure,Animation,en,Pocahontas,Pocahontas,UnitedStatesofAmerica,1995-06-14,Released
Drama,Romance,en,When Night Is Falling,When Night Is Falling,Canada,1995-05-05,Released
Drama,Crime,en,The Usual Suspects,The Usual Suspects,UnitedStatesofAmerica,1995-07-19,Released
Action,Thriller,en,Guardian Angel,Guardian Angel,#N/A,1994-11-22,Released
Comedy,Romance,en,Mighty Aphrodite,Mighty Aphrodite,UnitedStatesofAmerica,1995-09-13,Released
Drama,Foreign,it,Lamerica,Lamerica,Italy,1994-01-01,Released
Action,Adventure,en,The Big Green,The Big Green,UnitedStatesofAmerica,1995-09-29,Released
Drama,,en,Georgia,Georgia,France,1995-05-19,Released
,,en,Kids of the Round Table,Kids of the Round Table,#N/A,1997-07-08,Released
Comedy,Drama,en,Home for the Holidays,Home for the Holidays,UnitedStatesofAmerica,1995-11-02,Released
Comedy,Drama,it,Il postino,The Postman,Belgium,1994-09-22,Released
Thriller,Drama,fr,Le confessionnal,The Confessional,Canada,1995-09-29,Released
Adventure,Family,en,The Indian in the Cupboard,The Indian in the Cupboard,UnitedStatesofAmerica,1995-07-14,Released
Drama,Thriller,en,Eye for an Eye,Eye for an Eye,UnitedStatesofAmerica,1996-01-12,Released
Music,Drama,en,Mr. Holland's Opus,Mr. Holland's Opus,UnitedStatesofAmerica,1995-12-29,Released
Comedy,,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,UnitedStatesofAmerica,1996-01-12,Released
Comedy,Romance,en,Two If by Sea,Two If by Sea,UnitedStatesofAmerica,1996-01-12,Released
Comedy,,en,Bio-Dome,Bio-Dome,UnitedStatesofAmerica,1996-01-12,Released
Action,Science,en,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,UnitedStatesofAmerica,1996-01-12,Released
Drama,Family,en,Two Bits,Two Bits,UnitedStatesofAmerica,1995-10-22,Released
Comedy,Romance,fr,Gazon maudit,French Twist,France,1995-02-08,Released
Comedy,,en,Friday,Friday,UnitedStatesofAmerica,1995-04-26,Released
Horror,Action,en,From Dusk Till Dawn,From Dusk Till Dawn,UnitedStatesofAmerica,1996-01-19,Released
Action,Thriller,en,Fair Game,Fair Game,UnitedStatesofAmerica,1995-11-03,Released
Comedy,Drama,en,Kicking and Screaming,Kicking and Screaming,UnitedStatesofAmerica,1995-10-06,Released
Drama,History,fr,Les misérables,Les Miserables,France,1995-03-22,Released
Drama,Romance,en,Bed of Roses,Bed of Roses,UnitedStatesofAmerica,1996-01-26,Released
Comedy,Family,en,Big Bully,Big Bully,UnitedStatesofAmerica,1996-01-26,Released
Horror,Science,en,Screamers,Screamers,Canada,1995-09-08,Released
Documentary,,en,Nico Icon,Nico Icon,Germany,1995-02-18,Released
Drama,Thriller,en,The Crossing Guard,The Crossing Guard,UnitedStatesofAmerica,1995-11-15,Released
Drama,Thriller,en,The Juror,The Juror,UnitedStatesofAmerica,1996-02-02,Released
Family,Drama,fa,بادکنک سفید,The White Balloon,Iran,1995-01-01,Released
Drama,Crime,en,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,UnitedStatesofAmerica,1995-12-01,Released
Drama,Comedy,nl,Antonia,Antonia's Line,Netherlands,1995-09-12,Released
Romance,Drama,en,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,UnitedStatesofAmerica,1996-01-26,Released
,,en,Last Summer in the Hamptons,Last Summer in the Hamptons,#N/A,1995-11-22,Released
Drama,Romance,en,Angels and Insects,Angels and Insects,UnitedKingdom,1995-09-10,Released
Action,Drama,en,White Squall,White Squall,UnitedStatesofAmerica,1996-02-02,Released
Adventure,Comedy,en,Dunston Checks In,Dunston Checks In,UnitedStatesofAmerica,1996-01-12,Released
Comedy,,en,Black Sheep,Black Sheep,UnitedStatesofAmerica,1996-02-01,Released
Crime,Drama,en,Nick of Time,Nick of Time,UnitedStatesofAmerica,1995-11-22,Released
Drama,,en,The Journey of August King,The Journey of August King,UnitedStatesofAmerica,1995-09-14,Released
Drama,Horror,en,Mary Reilly,Mary Reilly,UnitedStatesofAmerica,1996-02-23,Released
Comedy,Horror,en,Vampire in Brooklyn,Vampire in Brooklyn,UnitedStatesofAmerica,1995-10-26,Released
Comedy,Drama,en,Beautiful Girls,Beautiful Girls,UnitedStatesofAmerica,1996-02-09,Released
Action,Adventure,en,Broken Arrow,Broken Arrow,UnitedStatesofAmerica,1996-02-09,Released
Comedy,,en,A Midwinter's Tale,A Midwinter's Tale,UnitedKingdom,1995-12-01,Released
Drama,,fr,La Haine,La Haine,France,1995-05-31,Released
Action,Adventure,en,Shopping,Shopping,UnitedKingdom,1994-12-06,Released
Documentary,,en,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,UnitedKingdom,1995-12-27,Released
Drama,Thriller,en,City Hall,City Hall,UnitedStatesofAmerica,1996-02-16,Released
Comedy,Crime,en,Bottle Rocket,Bottle Rocket,UnitedStatesofAmerica,1996-02-21,Released
Comedy,Romance,en,Mr. Wrong,Mr. Wrong,UnitedStatesofAmerica,1996-02-16,Released
Drama,Mystery,en,Unforgettable,Unforgettable,UnitedStatesofAmerica,1996-02-23,Released
Comedy,,en,Happy Gilmore,Happy Gilmore,UnitedStatesofAmerica,1996-02-16,Released
Drama,Romance,en,The Bridges of Madison County,The Bridges of Madison County,UnitedStatesofAmerica,1995-05-28,Released
Drama,Comedy,de,Keiner liebt mich,Nobody Loves Me,Germany,1994-11-07,Released
Action,Comedy,en,Muppet Treasure Island,Muppet Treasure Island,UnitedStatesofAmerica,1996-02-16,Released
Documentary,,en,Catwalk,Catwalk,#N/A,1995-12-08,Released
Crime,,en,Headless Body in Topless Bar,Headless Body in Topless Bar,#N/A,1995-05-20,Released
Action,Drama,en,Braveheart,Braveheart,UnitedStatesofAmerica,1995-05-24,Released
Crime,Drama,en,Taxi Driver,Taxi Driver,UnitedStatesofAmerica,1976-02-07,Released
Crime,Action,cn,紅番區,Rumble in the Bronx,HongKong,1995-01-30,Released
Drama,Thriller,en,Before and After,Before and After,UnitedStatesofAmerica,1996-02-23,Released
Drama,,en,Margaret's Museum,Margaret's Museum,Canada,1995-09-13,Released
Comedy,,en,Le Bonheur est dans le pré,Happiness Is in the Field,France,1995-01-31,Released
Documentary,Drama,en,Anne Frank Remembered,Anne Frank Remembered,UnitedKingdom,1995-06-08,Released
Comedy,Crime,en,The Young Poisoner's Handbook,The Young Poisoner's Handbook,Germany,1995-01-20,Released
Comedy,Romance,en,If Lucy Fell,If Lucy Fell,UnitedStatesofAmerica,1996-03-08,Released
Comedy,Drama,en,Steal Big Steal Little,Steal Big Steal Little,UnitedStatesofAmerica,1995-09-29,Released
Action,Adventure,en,Race the Sun,Race the Sun,UnitedStatesofAmerica,1996-03-22,Released
Drama,,en,The Boys of St. Vincent,The Boys of St. Vincent,Canada,1992-12-06,Released
Comedy,Romance,en,Boomerang,Boomerang,UnitedStatesofAmerica,1992-06-30,Released
Drama,Comedy,cn,重慶森林,Chungking Express,HongKong,1994-07-14,Released
Drama,Romance,it,L'uomo delle stelle,The Star Maker,Italy,1995-09-21,Released
Comedy,Romance,en,Flirting with Disaster,Flirting with Disaster,UnitedStatesofAmerica,1996-03-22,Released
Fantasy,,en,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia,Germany,1994-10-26,Released
Drama,,ar,صمت القصور,The Silences of the Palace,Tunisia,1994-09-30,Released
,,en,Jupiter's Wife,Jupiter's Wife,#N/A,1995-01-01,Released
Comedy,Romance,en,Pie in the Sky,Pie in the Sky,#N/A,1996-02-09,Released
Comedy,Drama,en,Angela,Angela,UnitedStatesofAmerica,1995-01-01,Released
Drama,Romance,it,Frankie Starlight,Frankie Starlight,UnitedKingdom,1995-11-22,Released
Action,Thriller,en,Jade,Jade,UnitedStatesofAmerica,1995-10-13,Released
Comedy,Drama,es,Nueba Yol,Nueba Yol,DominicanRepublic,1995-08-16,Released
Music,Documentary,en,Sonic Outlaws,Sonic Outlaws,UnitedStatesofAmerica,1995-08-01,Released
Comedy,,en,Down Periscope,Down Periscope,UnitedStatesofAmerica,1996-03-01,Released
Documentary,,en,From the Journals of Jean Seberg,From the Journals of Jean Seberg,UnitedStatesofAmerica,1995-09-08,Released
Comedy,,en,Man of the Year,Man of the Year,UnitedStatesofAmerica,1995-09-15,Released
Drama,,en,The Neon Bible,The Neon Bible,UnitedKingdom,1995-08-23,Released
,,en,Target,Target,#N/A,1995-08-01,Released
Drama,Romance,en,Up Close & Personal,Up Close & Personal,UnitedStatesofAmerica,1996-03-01,Released
Comedy,,en,The Birdcage,The Birdcage,UnitedStatesofAmerica,1996-03-08,Released
Drama,,en,Gospa,Virgin Mary,Croatia,1995-10-12,Released
Comedy,Drama,en,The Brothers McMullen,The Brothers McMullen,UnitedStatesofAmerica,1995-08-09,Released
Action,Comedy,en,Bad Boys,Bad Boys,UnitedStatesofAmerica,1995-04-07,Released
Action,Adventure,en,The Amazing Panda Adventure,The Amazing Panda Adventure,UnitedStatesofAmerica,1995-08-25,Released
Drama,Crime,en,The Basketball Diaries,The Basketball Diaries,UnitedStatesofAmerica,1995-04-21,Released
Romance,Drama,en,An Awfully Big Adventure,An Awfully Big Adventure,UnitedKingdom,1995-07-21,Released
Crime,Comedy,en,Amateur,Amateur,France,1994-08-05,Released
Drama,,en,Apollo 13,Apollo 13,UnitedStatesofAmerica,1995-06-30,Released
Adventure,,en,Rob Roy,Rob Roy,UnitedKingdom,1995-04-13,Released
Drama,Horror,en,The Addiction,The Addiction,UnitedStatesofAmerica,1995-01-10,Released
Action,Crime,en,Batman Forever,Batman Forever,UnitedKingdom,1995-06-16,Released
Drama,Romance,fr,Belle de jour,Belle de Jour,France,1967-05-24,Released
Drama,Thriller,en,Beyond Rangoon,Beyond Rangoon,#N/A,1995-05-24,Released
Comedy,,en,Blue in the Face,Blue in the Face,UnitedStatesofAmerica,1995-09-15,Released
Action,Comedy,en,Canadian Bacon,Canadian Bacon,Canada,1995-06-08,Released
Fantasy,Comedy,en,Casper,Casper,UnitedStatesofAmerica,1995-05-26,Released
Mystery,Crime,en,Clockers,Clockers,UnitedStatesofAmerica,1995-09-15,Released
Action,Adventure,en,Congo,Congo,UnitedStatesofAmerica,1995-06-09,Released
Action,Thriller,en,Crimson Tide,Crimson Tide,UnitedStatesofAmerica,1995-05-12,Released
Documentary,,en,Crumb,Crumb,UnitedStatesofAmerica,1994-09-10,Released
Thriller,Action,en,Desperado,Desperado,UnitedStatesofAmerica,1995-08-25,Released
Drama,Mystery,en,Devil in a Blue Dress,Devil in a Blue Dress,UnitedStatesofAmerica,1995-09-15,Released
Action,Thriller,en,Die Hard: With a Vengeance,Die Hard: With a Vengeance,UnitedStatesofAmerica,1995-05-19,Released
Action,Comedy,en,The Doom Generation,The Doom Generation,France,1995-10-27,Released
Drama,Crime,en,Feast of July,Feast of July,#N/A,1995-10-12,Released
Action,Adventure,en,First Knight,First Knight,UnitedStatesofAmerica,1995-07-07,Released
Adventure,,en,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home,France,1995-07-19,Released
Action,Crime,en,Hackers,Hackers,UnitedStatesofAmerica,1995-09-14,Released
Comedy,Drama,en,Jeffrey,Jeffrey,UnitedStatesofAmerica,1995-08-18,Released
Adventure,Action,en,Johnny Mnemonic,Johnny Mnemonic,Canada,1995-05-26,Released
Science,,en,Judge Dredd,Judge Dredd,UnitedStatesofAmerica,1995-06-30,Released
Comedy,Drama,en,Jury Duty,Jury Duty,UnitedStatesofAmerica,1995-04-12,Released
Drama,Crime,en,Kids,Kids,UnitedStatesofAmerica,1995-07-28,Released
Drama,Comedy,en,Living in Oblivion,Living in Oblivion,UnitedStatesofAmerica,1995-01-20,Released
Mystery,Horror,en,Lord of Illusions,Lord of Illusions,UnitedStatesofAmerica,1995-08-25,Released
Comedy,Drama,en,Love & Human Remains,Love & Human Remains,Canada,1993-05-20,Released
Drama,Family,en,Mad Love,Mad Love,UnitedStatesofAmerica,1995-05-26,Released
Romance,Comedy,en,Mallrats,Mallrats,UnitedStatesofAmerica,1995-10-20,Released
Action,Adventure,en,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,Japan,1995-06-30,Released
Comedy,Drama,en,Moonlight and Valentino,Moonlight and Valentino,UnitedKingdom,1995-09-29,Released
Thriller,Foreign,en,Mute Witness,Mute Witness,Germany,1995-09-28,Released
Horror,Thriller,en,Nadja,Nadja,UnitedStatesofAmerica,1994-09-13,Released
Crime,Drama,en,The Net,The Net,UnitedStatesofAmerica,1995-07-28,Released
Comedy,,en,Nine Months,Nine Months,UnitedStatesofAmerica,1995-07-12,Released
Comedy,,en,Party Girl,Party Girl,UnitedStatesofAmerica,1995-06-09,Released
Fantasy,Horror,en,The Prophecy,The Prophecy,UnitedStatesofAmerica,1995-09-01,Released
Fantasy,Comedy,en,Reckless,Reckless,UnitedStatesofAmerica,1995-11-17,Released
Drama,,en,Safe,Safe,UnitedKingdom,1995-06-23,Released
Drama,History,en,The Scarlet Letter,The Scarlet Letter,UnitedStatesofAmerica,1995-10-13,Released
Documentary,,en,The Show,The Show,#N/A,1995-08-25,
Drama,,en,Showgirls,Showgirls,France,1995-09-22,Released
Comedy,Drama,en,Smoke,Smoke,Germany,1995-06-09,Released
Comedy,,en,Something to Talk About,Something to Talk About,UnitedStatesofAmerica,1995-08-04,Released
Science,name:,en,Species,Species,UnitedStatesofAmerica,1995-07-07,Released
Drama,,en,The Stars Fell on Henrietta,The Stars Fell on Henrietta,UnitedStatesofAmerica,1995-09-15,Released
Crime,Drama,en,Strange Days,Strange Days,UnitedStatesofAmerica,1995-10-13,Released
Drama,Romance,fr,Les parapluies de Cherbourg,The Umbrellas of Cherbourg,Germany,1964-02-19,Released
Thriller,,en,The Tie That Binds,The Tie That Binds,UnitedStatesofAmerica,1995-09-08,Released
Drama,Fantasy,en,Three Wishes,Three Wishes,UnitedStatesofAmerica,1995-10-27,Released
Drama,Romance,en,Total Eclipse,Total Eclipse,France,1995-11-02,Released
Comedy,,en,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",UnitedStatesofAmerica,1995-09-07,Released
Action,Thriller,en,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,UnitedStatesofAmerica,1995-07-13,Released
Comedy,Drama,en,Unstrung Heroes,Unstrung Heroes,#N/A,1995-09-15,Released
Documentary,,en,Unzipped,Unzipped,UnitedStatesofAmerica,1995-08-11,Released
Drama,Romance,en,A Walk in the Clouds,A Walk in the Clouds,UnitedStatesofAmerica,1995-08-11,Released
Adventure,Action,en,Waterworld,Waterworld,UnitedStatesofAmerica,1995-07-28,Released
Drama,,en,White Man's Burden,White Man's Burden,France,1995-12-01,Released
Action,Western,en,Wild Bill,Wild Bill,#N/A,1995-12-01,Released
Drama,,en,The Browning Version,The Browning Version,UnitedKingdom,1994-10-12,Released
Adventure,Action,en,Bushwhacked,Bushwhacked,UnitedStatesofAmerica,1995-08-04,Released
Drama,,ru,Утомлённые солнцем,Burnt by the Sun,France,1994-05-01,Released
Drama,War,en,Before the Rain,Before the Rain,UnitedKingdom,1994-06-09,Released
Drama,Romance,en,Before Sunrise,Before Sunrise,Austria,1995-01-27,Released
Comedy,,en,Billy Madison,Billy Madison,UnitedStatesofAmerica,1995-02-10,Released
Drama,Thriller,en,The Babysitter,The Babysitter,UnitedStatesofAmerica,1995-10-17,Released
Comedy,Drama,en,Boys on the Side,Boys on the Side,France,1995-02-03,Released
Drama,Family,en,The Cure,The Cure,UnitedStatesofAmerica,1995-04-21,Released
Thriller,Drama,en,Castle Freak,Castle Freak,UnitedStatesofAmerica,1995-08-04,Released
Drama,Family,en,Circle of Friends,Circle of Friends,Ireland,1995-03-16,Released
Comedy,,en,Clerks,Clerks,UnitedStatesofAmerica,1994-09-13,Released
Romance,Drama,en,Don Juan DeMarco,Don Juan DeMarco,UnitedStatesofAmerica,1994-10-01,Released
Drama,Thriller,en,Disclosure,Disclosure,UnitedStatesofAmerica,1994-12-09,Released
Thriller,,en,Dream Man,Dream Man,UnitedStatesofAmerica,1995-01-01,Released
Action,Adventure,en,Drop Zone,Drop Zone,UnitedStatesofAmerica,1994-12-08,Released
Crime,Comedy,it,Destiny Turns on the Radio,Destiny Turns on the Radio,UnitedStatesofAmerica,1995-04-28,Released
Drama,Thriller,en,Death and the Maiden,Death and the Maiden,UnitedStatesofAmerica,1994-05-04,Released
Crime,Drama,en,Dolores Claiborne,Dolores Claiborne,UnitedStatesofAmerica,1995-03-24,Released
Comedy,,en,Dumb and Dumber,Dumb and Dumber,UnitedStatesofAmerica,1994-12-16,Released
Comedy,Drama,zh,飲食男女,Eat Drink Man Woman,Taiwan,1994-08-03,Released
Drama,Mystery,en,Exotica,Exotica,Canada,1994-09-24,Released
Thriller,Comedy,en,Exit to Eden,Exit to Eden,UnitedStatesofAmerica,1994-10-14,Released
Comedy,Drama,en,Ed Wood,Ed Wood,UnitedStatesofAmerica,1994-09-27,Released
Comedy,Romance,en,French Kiss,French Kiss,UnitedKingdom,1995-05-05,Released
Comedy,Drama,en,Forget Paris,Forget Paris,UnitedStatesofAmerica,1995-05-19,Released
Action,Adventure,en,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog,UnitedStatesofAmerica,1995-01-13,Released
Romance,Animation,en,A Goofy Movie,A Goofy Movie,UnitedStatesofAmerica,1995-04-07,Released
Drama,Thriller,en,Hideaway,Hideaway,UnitedStatesofAmerica,1995-03-03,Released
Drama,Family,en,Fluke,Fluke,UnitedStatesofAmerica,1995-06-02,Released
History,Drama,fr,Farinelli,Farinelli,Belgium,1994-12-07,Released
Drama,Family,en,Gordy,Gordy,UnitedStatesofAmerica,1995-05-12,Released
Fantasy,Animation,en,Gumby: The Movie,Gumby: The Movie,#N/A,1995-12-01,Released
Drama,Action,en,The Glass Shield,The Glass Shield,UnitedStatesofAmerica,1994-09-16,Released
Documentary,,en,Hoop Dreams,Hoop Dreams,UnitedStatesofAmerica,1994-09-12,Released
Drama,Fantasy,en,Heavenly Creatures,Heavenly Creatures,NewZealand,1994-09-02,Released
Comedy,Family,en,Houseguest,Houseguest,#N/A,1995-01-06,Released
Drama,Music,en,Immortal Beloved,Immortal Beloved,UnitedStatesofAmerica,1994-12-16,Released
Comedy,Family,en,Heavyweights,Heavyweights,UnitedStatesofAmerica,1995-02-17,Released
Action,Thriller,en,The Hunted,The Hunted,UnitedStatesofAmerica,1995-02-24,Released
Comedy,Drama,en,I.Q.,I.Q.,UnitedStatesofAmerica,1994-12-24,Released
Horror,Romance,en,Interview with the Vampire,Interview with the Vampire,UnitedStatesofAmerica,1994-11-11,Released
Drama,Romance,en,Jefferson in Paris,Jefferson in Paris,UnitedStatesofAmerica,1995-03-31,Released
Comedy,Crime,en,The Jerky Boys,The Jerky Boys,UnitedStatesofAmerica,1995-02-03,Released
Comedy,Family,en,Junior,Junior,UnitedStatesofAmerica,1994-11-22,Released
Action,Drama,en,Just Cause,Just Cause,UnitedStatesofAmerica,1995-02-17,Released
Adventure,Fantasy,en,A Kid in King Arthur's Court,A Kid in King Arthur's Court,#N/A,1995-08-11,Released
Action,Crime,en,Kiss of Death,Kiss of Death,UnitedStatesofAmerica,1995-04-21,Released
Adventure,Action,en,Star Wars,Star Wars,UnitedStatesofAmerica,1977-05-25,Released
Drama,Romance,en,Little Women,Little Women,UnitedStatesofAmerica,1994-12-21,Released
Drama,Family,en,A Little Princess,A Little Princess,UnitedStatesofAmerica,1995-05-10,Released
Drama,,en,Ladybird Ladybird,Ladybird Ladybird,UnitedKingdom,1994-02-18,Released
Crime,Drama,fr,L'Enfer,L'Enfer,France,1994-02-16,Released
Drama,Romance,es,Como agua para chocolate,Like Water for Chocolate,Mexico,1992-04-16,Released
Adventure,Drama,en,Legends of the Fall,Legends of the Fall,UnitedStatesofAmerica,1994-12-16,Released
Adventure,Comedy,en,Major Payne,Major Payne,UnitedStatesofAmerica,1995-03-24,Released
Action,Drama,en,Little Odessa,Little Odessa,UnitedStatesofAmerica,1994-10-27,Released
Crime,Drama,en,Mi Vida Loca,Mi Vida Loca,UnitedStatesofAmerica,1994-06-08,Released
Drama,Romance,en,Love Affair,Love Affair,UnitedStatesofAmerica,1994-10-21,Released
Drama,,en,Losing Isaiah,Losing Isaiah,UnitedStatesofAmerica,1995-03-17,Released
Comedy,Drama,en,The Madness of King George,The Madness of King George,UnitedKingdom,1994-12-28,Released
Drama,Horror,en,Frankenstein,Mary Shelley's Frankenstein,UnitedKingdom,1994-11-04,Released
Action,Comedy,en,Man of the House,Man of the House,#N/A,1995-03-03,Released
Comedy,Drama,en,Mixed Nuts,Mixed Nuts,UnitedStatesofAmerica,1994-12-21,Released
Comedy,Romance,en,Milk Money,Milk Money,UnitedStatesofAmerica,1994-08-31,Released
Fantasy,Drama,en,Miracle on 34th Street,Miracle on 34th Street,UnitedStatesofAmerica,1994-11-18,Released
Comedy,Romance,en,Miami Rhapsody,Miami Rhapsody,UnitedStatesofAmerica,1995-01-27,Released
Comedy,Drama,en,My Family,My Family,UnitedStatesofAmerica,1995-05-03,Released
Crime,Drama,en,Murder in the First,Murder in the First,France,1995-01-20,Released
Drama,Comedy,en,Nobody's Fool,Nobody's Fool,UnitedStatesofAmerica,1994-12-23,Released
Drama,Thriller,en,Nell,Nell,UnitedStatesofAmerica,1994-12-23,Released
Crime,Drama,en,New Jersey Drive,New Jersey Drive,UnitedStatesofAmerica,1995-04-19,Released
Action,Thriller,en,New York Cop,New York Cop,Japan,1993-08-14,Released
Horror,,en,Beyond Bedlam,Beyond Bedlam,UnitedKingdom,1994-04-22,Released
Science,name:,en,Nemesis 2 - Nebula,Nemesis 2 - Nebula,UnitedStatesofAmerica,1995-09-26,Released
Drama,Romance,en,Nina Takes a Lover,Nina Takes a Lover,#N/A,1995-03-03,Released
Crime,Thriller,en,Natural Born Killers,Natural Born Killers,UnitedStatesofAmerica,1994-08-25,Released
Comedy,Drama,en,Only You,Only You,UnitedStatesofAmerica,1994-09-17,Released
Drama,,en,Once Were Warriors,Once Were Warriors,NewZealand,1994-09-02,Released
Drama,Romance,en,Poison Ivy II: Lily,Poison Ivy II: Lily,UnitedStatesofAmerica,1996-01-16,Released
Action,Drama,en,Outbreak,Outbreak,UnitedStatesofAmerica,1995-03-10,Released
Thriller,Crime,fr,Léon,Leon: The Professional,France,1994-09-14,Released
Comedy,Drama,en,The Perez Family,The Perez Family,UnitedStatesofAmerica,1995-05-12,Released
Comedy,Drama,en,A Pyromaniac's Love Story,A Pyromaniac's Love Story,UnitedStatesofAmerica,1995-04-28,Released
Thriller,Crime,en,Pulp Fiction,Pulp Fiction,UnitedStatesofAmerica,1994-09-10,Released
Drama,,en,Panther,Panther,UnitedKingdom,1995-11-10,Released
Comedy,Drama,zh,Pushing Hands,Pushing Hands,Taiwan,1992-02-01,Released
Drama,Romance,en,Priest,Priest,UnitedKingdom,1994-01-01,Released
History,Drama,en,Quiz Show,Quiz Show,UnitedStatesofAmerica,1994-09-16,Released
Drama,History,en,Picture Bride,Picture Bride,Japan,1995-05-05,Released
Drama,History,fr,La Reine Margot,Queen Margot,France,1994-05-13,Released
Action,Western,en,The Quick and the Dead,The Quick and the Dead,Japan,1995-02-09,Released
